SL. NO.,Star,Seat Name,Region Overlap,Holder Buffs,Title Name,Buff,Regional Bonuses,Owned,Owner,Rein,Slots,Wall,Tier
3,4.5,Winterfell,King's Landing,Food Gathering +70%,Sentinel,Defender Health +71%,Infantry Attack +15%,NO,0,825k,22,871k,T2
3,4.5,Winterfell,King's Landing,Trap Attack +84%,Grand Maester,March Speed +40%,D2W +4%,NO,0,825k,22,871k,T2
3,4.5,Winterfell,King's Landing,D2W +4%,KL Attack x8,March Size vs KL +175k,Construction Speed +20%,NO,0,825k,22,871k,T2
3,4.5,Winterfell,King's Landing,KL Attack,KL Attack x8,D2W vs KL +2%,Training Speed +20%,NO,0,825k,22,871k,T2
3,4.5,Winterfell,King's Landing,0,KL Attack x8,Rallied Troop Capacity vs KL +105k,0,NO,0,825k,22,871k,T2
3,4.5,Winterfell,King's Landing,0,KL Attack x8,Rally Slots vs KL +2,0,NO,0,825k,22,871k,T2
4,4.5,Storm's End,King's Landing,Ranged Attack +56%,Bannerman,Ranged Attack +48%,March Size Reinforcing SoP +1250,NO,0,825k,22,871k,T2
4,4.5,Storm's End,King's Landing,Training Speed +120%,Spymaster,Siege Attack +48%,March Speed +20%,NO,0,825k,22,871k,T2
4,4.5,Storm's End,King's Landing,Holder March +340k,Maester,Trap Attack +71%,Cavalry Attack +20%,NO,0,825k,22,871k,T2
4,4.5,Storm's End,King's Landing,Maester Speed +70%,Sentinel,Cavalry Defense +48%,D2W +6%,NO,0,825k,22,871k,T2
4,4.5,Storm's End,King's Landing,March Speed vs Creatures +84%,Ward,Rallied Troop Capacity +11880,Construction Speed +20%,NO,0,825k,22,871k,T2
4,4.5,Storm's End,King's Landing,D2W +4%,KL Attack x8,March Size vs KL +175k,Steel Crafting Efficiency +20%,NO,0,825k,22,871k,T2
4,4.5,Storm's End,King's Landing,KL Attack,KL Attack x8,D2W vs KL +2%,0,NO,0,825k,22,871k,T2
4,4.5,Storm's End,King's Landing,0,KL Attack x8,Rallied Troop Capacity vs KL +105k,0,NO,0,825k,22,871k,T2
4,4.5,Storm's End,King's Landing,0,KL Attack x8,Rally Slots vs KL +2,0,NO,0,825k,22,871k,T2
5,4,Dragonstone,King's Landing,Healing Cost Efficiency +105%,Maester,Healing Cost Efficiency +90%,March Size Reinforcing SoP +5000,NO,0,795k,20,814k,T2
5,4,Dragonstone,King's Landing,Dragon Attack +70%,Spymaster,Training Speed +90%,March Speed Reinforcing +10%,NO,0,795k,20,814k,T2
5,4,Dragonstone,King's Landing,Holder March +225k,Cupbearer,Attack at SoP +45%,March Speed +15%,NO,0,795k,20,814k,T2
5,4,Dragonstone,King's Landing,Iron Gathering 66%,Sentinel,March Size vs Creatures +3366,Ranged Attack +20%,NO,0,795k,20,814k,T2
5,4,Dragonstone,King's Landing,March Size vs Resources +5250,4.5 Attack x7,March Size vs 4.5* SoP +150k,D2W +4%,NO,0,795k,20,814k,T2
5,4,Dragonstone,King's Landing,D2W +4%,4.5 Attack x7,D2W vs 4.5* SoP +2%,Construction Speed +20%,NO,0,795k,20,814k,T2
5,4,Dragonstone,King's Landing,4.5 Attack,4.5 Attack x7,Rallied Troop Capacity vs 4.5* SoP +90k,Dragon Health Regen Rate 0.03,NO,0,795k,20,814k,T2
5,4,Dragonstone,King's Landing,0,4.5 Attack x7,Rally Slots vs 4.5* SoP +2,0,NO,0,795k,20,814k,T2
6,4,Eyrie,King's Landing,Cavalry Attack +53%,Bannerman,Cavalry Attack +45%,March Size Reinforcing SoP +5000,NO,0,795k,20,814k,T2
6,4,Eyrie,King's Landing,Training Speed +105%,Landed Knight,Siege Defense +45%,March Speed Reinforcing +10%,NO,0,795k,20,814k,T2
6,4,Eyrie,King's Landing,Holder March +225k,Cupbearer,Food Production +56%,March Speed +15%,NO,0,795k,20,814k,T2
6,4,Eyrie,King's Landing,Stable Training Capacity (cavalry) +263,Sentinel,Wood Production +56%,Ranged Attack +20%,NO,0,795k,20,814k,T2
6,4,Eyrie,King's Landing,Food Gathering +66%,4.5 Attack x7,March Size vs 4.5* SoP +150k,D2W +4%,NO,0,795k,20,814k,T2
6,4,Eyrie,King's Landing,D2W +4%,4.5 Attack x7,D2W vs 4.5* SoP +2%,Construction Speed +20%,NO,0,795k,20,814k,T2
6,4,Eyrie,King's Landing,4.5 Attack,4.5 Attack x7,Rallied Troop Capacity vs 4.5* SoP +90k,Dragon: Troop Attack +15%,NO,0,795k,20,814k,T2
6,4,Eyrie,King's Landing,0,4.5 Attack x7,Rally Slots vs 4.5* SoP +2,0,NO,0,795k,20,814k,T2
7,4,Sunspear,King's Landing,Infantry Attack +53%,Bannerman,Infantry Attack +45%,March Size Reinforcing SoP +5000,NO,0,795k,20,814k,T2
7,4,Sunspear,King's Landing,Maester Speed +70%,Maester,Rallied Troop vs Sop +22400,March Speed Reinforcing +10%,NO,0,795k,20,814k,T2
7,4,Sunspear,King's Landing,Holder March +225k,Cupbearer,Attack vs Creatures +45%,March Speed +15%,NO,0,795k,20,814k,T2
7,4,Sunspear,King's Landing,Defender Defense +79%,Sentinel,Wounded Capacity +3366,Cavalry Attack +15%,NO,0,795k,20,814k,T2
7,4,Sunspear,King's Landing,Stone Gathering 66%,4.5 Attack x7,March Size vs 4.5* SoP +150k,D2W +4%,NO,0,795k,20,814k,T2
7,4,Sunspear,King's Landing,D2W +4%,4.5 Attack x7,D2W vs 4.5* SoP +2%,Construction Speed +20%,NO,0,795k,20,814k,T2
7,4,Sunspear,King's Landing,4.5 Attack,4.5 Attack x7,Rallied Troop Capacity vs 4.5* SoP +90k,Dragon Attack +15%,NO,0,795k,20,814k,T2
7,4,Sunspear,King's Landing,0,4.5 Attack x7,Rally Slots vs 4.5* SoP +2,0,NO,0,795k,20,814k,T2
8,4,Highgarden,King's Landing,Cavalry Attack +53%,Bannerman,Cavalry Attack +45%,March Size Reinforcing SoP +5000,NO,0,795k,20,814k,T2
8,4,Highgarden,King's Landing,Maester Speed +80%,Septon,Food Gathering +56%,March Speed Reinforcing +10%,NO,0,795k,20,814k,T2
8,4,Highgarden,King's Landing,Holder March +225k,Cupbearer,Defender Defense +67%,March Speed +15%,NO,0,795k,20,814k,T2
8,4,Highgarden,King's Landing,Troop Load +53%,Sentinel,Attack vs Creatures +45%,Infantry Attack +15%,NO,0,795k,20,814k,T2
8,4,Highgarden,King's Landing,Training Speed +105%,4.5 Attack x7,March Size vs 4.5* SoP +150k,D2W +4%,NO,0,795k,20,814k,T2
8,4,Highgarden,King's Landing,D2W +4%,4.5 Attack x7,D2W vs 4.5* SoP +2%,Construction Speed +20%,NO,0,795k,20,814k,T2
8,4,Highgarden,King's Landing,4.5 Attack,4.5 Attack x7,Rallied Troop Capacity vs 4.5* SoP +90k,Food Production +20%,NO,0,795k,20,814k,T2
8,4,Highgarden,King's Landing,0,4.5 Attack x7,Rally Slots vs 4.5* SoP +2,0,NO,0,795k,20,814k,T2
9,4,Riverrun,King's Landing,Infantry Health +53%,Bannerman,Infantry Health +45%,March Size Reinforcing Sop +5000,NO,0,795k,20,814k,T2
9,4,Riverrun,King's Landing,Forging Speed +80%,Steward,Ranged Defense +45%,March Speed Reinforcing +10%,NO,0,795k,20,814k,T2
9,4,Riverrun,King's Landing,Holder March +225k,Septon,Iron Production +56%,March Speed +15%,NO,0,795k,20,814k,T2
9,4,Riverrun,King's Landing,Training Speed +105%,Sentinel,Wounded Capacity +3366,Cavalry Attack +15%,NO,0,795k,20,814k,T2
9,4,Riverrun,King's Landing,Wood Gathering +66%,4.5 Attack x7,March Size vs 4.5* SoP +150k,D2W +4%,NO,0,795k,20,814k,T2
9,4,Riverrun,King's Landing,D2W +4%,4.5 Attack x7,D2W vs 4.5* SoP +2%,Construction Speed +20%,NO,0,795k,20,814k,T2
9,4,Riverrun,King's Landing,4.5 Attack,4.5 Attack x7,Rallied Troop Capacity vs 4.5* SoP +90k,Maester Speed +20%,NO,0,795k,20,814k,T2
9,4,Riverrun,King's Landing,0,4.5 Attack x7,Rally Slots vs 4.5* SoP +2,0,NO,0,795k,20,814k,T2
10,3.5,Dreadfort,"King's Landing, Winterfell",Infantry Attack +49%,Landed Knight,Infantry Attack +42%,March Size Reinforcing SoP +2500,NO,0,760k,18,755k,T2
10,3.5,Dreadfort,"King's Landing, Winterfell",Holder March +189k,Bannerman,Defender Defense +63%,Construction Speed +3%,NO,0,760k,18,755k,T2
10,3.5,Dreadfort,"King's Landing, Winterfell",Food Gathering +61%,Cupbearer,Cavalry Attack +42%,March Speed vs Creatures +3%,NO,0,760k,18,755k,T2
10,3.5,Dreadfort,"King's Landing, Winterfell",Trap Attack +73%,Sentinel,Wood Production +53%,Forging Speed +3%,NO,0,760k,18,755k,T2
10,3.5,Dreadfort,"King's Landing, Winterfell",4 Attack,4 Attack x6,March Size vs 4* SoP +135k,Maester Speed +3%,NO,0,760k,18,755k,T2
10,3.5,Dreadfort,"King's Landing, Winterfell",0,4 Attack x6,D2W vs 4* SoP +2%,0,NO,0,760k,18,755k,T2
10,3.5,Dreadfort,"King's Landing, Winterfell",0,4 Attack x6,Rallied Troop Capacity vs 4* SoP +81k,0,NO,0,760k,18,755k,T2
10,3.5,Dreadfort,"King's Landing, Winterfell",0,4 Attack x6,Rally Slots vs 4* SoP +2,0,NO,0,760k,18,755k,T2
11,3.5,Oldtown,"King's Landing, Highgarden",Cavalry Attack +49%,Bannerman,Cavalry Attack +42%,"March Size Reinforcing SoP 2,500",NO,0,760k,18,755k,T2
11,3.5,Oldtown,"King's Landing, Highgarden",Holder March +189k,Steward,Healing Speed +84%,Maester Speed 3.00%,NO,0,760k,18,755k,T2
11,3.5,Oldtown,"King's Landing, Highgarden",Troop Load +49%,Septon,Defender Defense +63%,Forging Speed 3.00%,NO,0,760k,18,755k,T2
11,3.5,Oldtown,"King's Landing, Highgarden",Training Speed +98%,Sentinel,March Size vs Creatures +3168,Construction Speed 3.00%,NO,0,760k,18,755k,T2
11,3.5,Oldtown,"King's Landing, Highgarden",4 Attack,4 Attack x6,March Size vs 4* SoP +135k,Gold Gathering 3.00%,NO,0,760k,18,755k,T2
11,3.5,Oldtown,"King's Landing, Highgarden",0,4 Attack x6,D2W vs 4* SoP +2%,0,NO,0,760k,18,755k,T2
11,3.5,Oldtown,"King's Landing, Highgarden",0,4 Attack x6,Rallied Troop Capacity vs 4* SoP +81k,0,NO,0,760k,18,755k,T2
11,3.5,Oldtown,"King's Landing, Highgarden",0,4 Attack x6,Rally Slots vs 4* SoP +2,0,NO,0,760k,18,755k,T2
12,3.5,Harrenhal,"King's Landing, Riverrun",Infantry Health +49%,Bannerman,Infantry Health +42%,March Size Reinforcing SoP +2500,NO,0,760k,18,755k,T2
12,3.5,Harrenhal,"King's Landing, Riverrun",Holder March +189k,Spymaster,Defender Attack +63%,March Speed vs Resources +5%,NO,0,760k,18,755k,T2
12,3.5,Harrenhal,"King's Landing, Riverrun",Training Speed +98%,Maester,Stone Production +53%,Iron Gathering +3%,NO,0,760k,18,755k,T2
12,3.5,Harrenhal,"King's Landing, Riverrun",Wood Gathering +61%,Sentinel,Siege Defense +42%,Food Gathering +3%,NO,0,760k,18,755k,T2
12,3.5,Harrenhal,"King's Landing, Riverrun",4 Attack,4 Attack x6,March Size vs 4* SoP +135k,Troop Load +2%,NO,0,760k,18,755k,T2
12,3.5,Harrenhal,"King's Landing, Riverrun",0,4 Attack x6,D2W vs 4* SoP +2%,0,NO,0,760k,18,755k,T2
12,3.5,Harrenhal,"King's Landing, Riverrun",0,4 Attack x6,Rallied Troop Capacity vs 4* SoP +81k,0,NO,0,760k,18,755k,T2
12,3.5,Harrenhal,"King's Landing, Riverrun",0,4 Attack x6,Rally Slots vs 4* SoP +2,0,NO,0,760k,18,755k,T2
13,3.5,Twins,"King's Landing, Riverrun",Infantry Health +49%,Bannerman,Infantry Health +42%,March Size Reinforcing SoP +2500,NO,0,760k,18,755k,T2
13,3.5,Twins,"King's Landing, Riverrun",Holder March +189k,Spymaster,Siege Health +42%,Food Gathering +3%,NO,0,760k,18,755k,T2
13,3.5,Twins,"King's Landing, Riverrun",Training Speed +98%,Kennelmaster,Training Speed +84%,Iron Gathering +3%,NO,0,760k,18,755k,T2
13,3.5,Twins,"King's Landing, Riverrun",Wood Gathering +61%,Sentinel,Troop Health +21%,Troop Load +2%,NO,0,760k,18,755k,T2
13,3.5,Twins,"King's Landing, Riverrun",4 Attack,4 Attack x6,March Size vs 4* SoP +135k,March Speed vs Resources +5%,NO,0,760k,18,755k,T2
13,3.5,Twins,"King's Landing, Riverrun",0,4 Attack x6,D2W vs 4* SoP +2%,0,NO,0,760k,18,755k,T2
13,3.5,Twins,"King's Landing, Riverrun",0,4 Attack x6,Rallied Troop Capacity vs 4* SoP +81k,0,NO,0,760k,18,755k,T2
13,3.5,Twins,"King's Landing, Riverrun",0,4 Attack x6,Rally Slots vs 4* SoP +2,0,NO,0,760k,18,755k,T2
14,3.5,Evenfall Hall,"King's Landing, Storm's End",Ranged Attack +49%,Bannerman,Ranged Attack +42%,March Size Reinforcing SoP +2500,NO,0,760k,18,755k,T2
14,3.5,Evenfall Hall,"King's Landing, Storm's End",Holder March +189k,Maester,Cavalry Health +42%,Barracks Training Capacity(infantry) +32,NO,0,760k,18,755k,T2
14,3.5,Evenfall Hall,"King's Landing, Storm's End",March Speed vs Creatures +73%,Cupbearer,Wood Gathering +53%,Range Training Capacity (ranged) +32,NO,0,760k,18,755k,T2
14,3.5,Evenfall Hall,"King's Landing, Storm's End",Maester Speed +61%,Sentinel,March Size +2112,Stable Training Capacity (cavalry) +32,NO,0,760k,18,755k,T2
14,3.5,Evenfall Hall,"King's Landing, Storm's End",4 Attack,4 Attack x6,March Size vs 4* SoP +135k,Training Speed +4%,NO,0,760k,18,755k,T2
14,3.5,Evenfall Hall,"King's Landing, Storm's End",0,4 Attack x6,D2W vs 4* SoP +2%,0,NO,0,760k,18,755k,T2
14,3.5,Evenfall Hall,"King's Landing, Storm's End",0,4 Attack x6,Rallied Troop Capacity vs 4* SoP +81k,0,NO,0,760k,18,755k,T2
14,3.5,Evenfall Hall,"King's Landing, Storm's End",0,4 Attack x6,Rally Slots vs 4* SoP +2,0,NO,0,760k,18,755k,T2
15,3.5,Harvest Hall,"King's Landing, Storm's End",Ranged Attack +49%,Landed Knight,Ranged Attack +42%,March Size Reinforcing SoP +2500,NO,0,760k,18,755k,T2
15,3.5,Harvest Hall,"King's Landing, Storm's End",Holder March +189k,Bannerman,Ranged Defense +42%,Range Training Capacity (ranged) +32,NO,0,760k,18,755k,T2
15,3.5,Harvest Hall,"King's Landing, Storm's End",March Speed vs Creatures +73%,Cupbearer,March Speed vs SoP +42%,Healing Speed +4%,NO,0,760k,18,755k,T2
15,3.5,Harvest Hall,"King's Landing, Storm's End",Maester Speed +61%,Sentinel,Cavalry Health +42%,Healing Cost Efficiency +4%,NO,0,760k,18,755k,T2
15,3.5,Harvest Hall,"King's Landing, Storm's End",4 Attack,4 Attack x6,March Size vs 4* SoP +135k,March Speed +2%,NO,0,760k,18,755k,T2
15,3.5,Harvest Hall,"King's Landing, Storm's End",0,4 Attack x6,D2W vs 4* SoP +2%,0,NO,0,760k,18,755k,T2
15,3.5,Harvest Hall,"King's Landing, Storm's End",0,4 Attack x6,Rallied Troop Capacity vs 4* SoP +81k,0,NO,0,760k,18,755k,T2
15,3.5,Harvest Hall,"King's Landing, Storm's End",0,4 Attack x6,Rally Slots vs 4* SoP +2,0,NO,0,760k,18,755k,T2
16,3.5,Clegane's Keep,"King's Landing, Casterly Rock",Ranged Attack +49%,Bannerman,Ranged Attack +42%,March Size Reinforcing SoP +2500,NO,0,760k,18,755k,T2
16,3.5,Clegane's Keep,"King's Landing, Casterly Rock",Holder March +189k,Spymaster,Wounded Capacity +3168,Gold Gathering 3.00%,NO,0,760k,18,755k,T2
16,3.5,Clegane's Keep,"King's Landing, Casterly Rock",March Speed vs Creatures +73%,Kennelmaster,Infantry Attack +42%,March Speed +2%,NO,0,760k,18,755k,T2
16,3.5,Clegane's Keep,"King's Landing, Casterly Rock",Maester Speed +61%,Sentinel,Defender Attack +63%,Stone Gathering +3%,NO,0,760k,18,755k,T2
16,3.5,Clegane's Keep,"King's Landing, Casterly Rock",4 Attack,4 Attack x6,March Size vs 4* SoP +135k,Troop Load +2%,NO,0,760k,18,755k,T2
16,3.5,Clegane's Keep,"King's Landing, Casterly Rock",0,4 Attack x6,D2W vs 4* SoP +2%,0,NO,0,760k,18,755k,T2
16,3.5,Clegane's Keep,"King's Landing, Casterly Rock",0,4 Attack x6,Rallied Troop Capacity vs 4* SoP +81k,0,NO,0,760k,18,755k,T2
16,3.5,Clegane's Keep,"King's Landing, Casterly Rock",0,4 Attack x6,Rally Slots vs 4* SoP +2,0,NO,0,760k,18,755k,T2
17,3.5,Golden Tooth,"King's Landing, Casterly Rock",Ranged Attack +49%,Bannerman,Ranged Attack +42%,March Size Reinforcing SoP +2500,NO,0,760k,18,755k,T2
17,3.5,Golden Tooth,"King's Landing, Casterly Rock",Holder March +189k,Maester,Troop Health +21%,Troop Load +2%,NO,0,760k,18,755k,T2
17,3.5,Golden Tooth,"King's Landing, Casterly Rock",March Speed vs Creatures +73%,Cupbearer,Cavalry Health +42%,Wood Gathering +3%,NO,0,760k,18,755k,T2
17,3.5,Golden Tooth,"King's Landing, Casterly Rock",Maester Speed +61%,Sentinel,Stone Production +60%,Stone Gathering +3%,NO,0,760k,18,755k,T2
17,3.5,Golden Tooth,"King's Landing, Casterly Rock",4 Attack,4 Attack x6,March Size vs 4* SoP +135k,Iron Gathering +3%,NO,0,760k,18,755k,T2
17,3.5,Golden Tooth,"King's Landing, Casterly Rock",0,4 Attack x6,D2W vs 4* SoP +2%,0,NO,0,760k,18,755k,T2
17,3.5,Golden Tooth,"King's Landing, Casterly Rock",0,4 Attack x6,Rallied Troop Capacity vs 4* SoP +81k,0,NO,0,760k,18,755k,T2
17,3.5,Golden Tooth,"King's Landing, Casterly Rock",0,4 Attack x6,Rally Slots vs 4* SoP +2,0,NO,0,760k,18,755k,T2
18,3,Hellholt,"King's Landing, Sunspear",Infantry Attack +45%,Bannerman,Infantry Attack +40%,March Size Reinforcing SoP +2500,NO,0,736k,18,697k,T3
18,3,Hellholt,"King's Landing, Sunspear",Holder March +165k,Landed Knight,Cavalry Attack +40%,Stamina Regeneration +1%,NO,0,736k,18,697k,T3
18,3,Hellholt,"King's Landing, Sunspear",Defender Defense +68%,Cupbearer,Defender Attack +59%,March Size vs Creatures +225,NO,0,736k,18,697k,T3
18,3,Hellholt,"King's Landing, Sunspear",Stone Gathering +56%,3.5 Attack x5,"March Size vs 3.5* SoP +120,967",March Speed vs Creatures +5%,NO,0,736k,18,697k,T3
18,3,Hellholt,"King's Landing, Sunspear",3.5 Attack,3.5 Attack x5,D2W vs 3.5* SoP +2%,0,NO,0,736k,18,697k,T3
18,3,Hellholt,"King's Landing, Sunspear",0,3.5 Attack x5,"Rallied Troop Capacity vs 3.5* SoP +72,580",0,NO,0,736k,18,697k,T3
18,3,Hellholt,"King's Landing, Sunspear",0,3.5 Attack x5,Rally Slots vs 3.5* SoP +2,0,NO,0,736k,18,697k,T3
19,3,Starfall,"King's Landing, Sunspear",Infantry Attack +45%,Bannerman,Infantry Attack +40%,March Size Reinforcing SoP +2500,NO,0,736k,18,697k,T3
19,3,Starfall,"King's Landing, Sunspear",Holder March +165k,Landed Knight,Stone Gathering +50%,Stamina Regeneration +1%,NO,0,736k,18,697k,T3
19,3,Starfall,"King's Landing, Sunspear",Defender Defense +68%,Cupbearer,Troop Health +20%,Attack vs Creatures +3%,NO,0,736k,18,697k,T3
19,3,Starfall,"King's Landing, Sunspear",Stone Gathering +56%,3.5 Attack x5,"March Size vs 3.5* SoP +120,967",March Speed vs Creatures +5%,NO,0,736k,18,697k,T3
19,3,Starfall,"King's Landing, Sunspear",3.5 Attack,3.5 Attack x5,D2W vs 3.5* SoP +2%,0,NO,0,736k,18,697k,T3
19,3,Starfall,"King's Landing, Sunspear",0,3.5 Attack x5,"Rallied Troop Capacity vs 3.5* SoP +72,580",0,NO,0,736k,18,697k,T3
19,3,Starfall,"King's Landing, Sunspear",0,3.5 Attack x5,Rally Slots vs 3.5* SoP +2,0,NO,0,736k,18,697k,T3
20,3,Moat Cailin,"King's Landing, Winterfell",Infantry Attack +45%,Bannerman,Infantry Attack +40%,March Size Reinforcing SoP +2500,NO,0,736k,18,697k,T3
20,3,Moat Cailin,"King's Landing, Winterfell",Holder March +165k,Maester,Rallied Troop Capacity +9900,Construction Speed +4%,NO,0,736k,18,697k,T3
20,3,Moat Cailin,"King's Landing, Winterfell",Food Gathering +56%,Cupbearer,Healing Speed +79%,Forging Speed +4%,NO,0,736k,18,697k,T3
20,3,Moat Cailin,"King's Landing, Winterfell",Trap Attack +68%,3.5 Attack x5,"March Size vs 3.5* SoP +120,967",Healing Speed +6%,NO,0,736k,18,697k,T3
20,3,Moat Cailin,"King's Landing, Winterfell",3.5 Attack,3.5 Attack x5,D2W vs 3.5* SoP +2%,0,NO,0,736k,18,697k,T3
20,3,Moat Cailin,"King's Landing, Winterfell",0,3.5 Attack x5,"Rallied Troop Capacity vs 3.5* SoP +72,580",0,NO,0,736k,18,697k,T3
20,3,Moat Cailin,"King's Landing, Winterfell",0,3.5 Attack x5,Rally Slots vs 3.5* SoP +2,0,NO,0,736k,18,697k,T3
21,3,Deepwood Motte,"King's Landing, Winterfell",Infantry Attack +45%,Bannerman,Infantry Attack +40%,March Size Reinforcing SoP +2500,NO,0,736k,18,697k,T3
21,3,Deepwood Motte,"King's Landing, Winterfell",Holder March +165k,Septon,Troop Load +40%,Construction Speed +4%,NO,0,736k,18,697k,T3
21,3,Deepwood Motte,"King's Landing, Winterfell",Food Gathering +56%,Cupbearer,Cavalry Attack +40%,Forging Speed +4%,NO,0,736k,18,697k,T3
21,3,Deepwood Motte,"King's Landing, Winterfell",Trap Attack +68%,3.5 Attack x5,"March Size vs 3.5* SoP +120,967",Training Speed +6%,NO,0,736k,18,697k,T3
21,3,Deepwood Motte,"King's Landing, Winterfell",3.5 Attack,3.5 Attack x5,D2W vs 3.5* SoP +2%,0,NO,0,736k,18,697k,T3
21,3,Deepwood Motte,"King's Landing, Winterfell",0,3.5 Attack x5,"Rallied Troop Capacity vs 3.5* SoP +72,580",0,NO,0,736k,18,697k,T3
21,3,Deepwood Motte,"King's Landing, Winterfell",0,3.5 Attack x5,Rally Slots vs 3.5* SoP +2,0,NO,0,736k,18,697k,T3
22,3,Ashford Castle,"King's Landing, Highgarden",Cavalry Attack +45%,Landed Knight,Cavalry Attack +40%,March Size Reinforcing SoP +2500,NO,0,736k,18,697k,T3
22,3,Ashford Castle,"King's Landing, Highgarden",Holder March +165k,Bannerman,March Speed +40%,Maester Speed +4%,NO,0,736k,18,697k,T3
22,3,Ashford Castle,"King's Landing, Highgarden",Troop Load +45%,Cupbearer,Food Gathering +50%,Trap Training Speed +6%,NO,0,736k,18,697k,T3
22,3,Ashford Castle,"King's Landing, Highgarden",Training Speed +90%,3.5 Attack x5,"March Size vs 3.5* SoP +120,967",March Speed vs Resources +8%,NO,0,736k,18,697k,T3
22,3,Ashford Castle,"King's Landing, Highgarden",3.5 Attack,3.5 Attack x5,D2W vs 3.5* SoP +2%,0,NO,0,736k,18,697k,T3
22,3,Ashford Castle,"King's Landing, Highgarden",0,3.5 Attack x5,"Rallied Troop Capacity vs 3.5* SoP +72,580",0,NO,0,736k,18,697k,T3
22,3,Ashford Castle,"King's Landing, Highgarden",0,3.5 Attack x5,Rally Slots vs 3.5* SoP +2,0,NO,0,736k,18,697k,T3
23,3,Horn Hill,"King's Landing, Highgarden",Cavalry Attack +45%,Bannerman,Cavalry Attack +40%,March Size Reinforcing SoP +2500,NO,0,736k,18,697k,T3
23,3,Horn Hill,"King's Landing, Highgarden",Holder March +165k,Steward,March Speed vs Creatures +59%,Maester Speed +4%,NO,0,736k,18,697k,T3
23,3,Horn Hill,"King's Landing, Highgarden",Troop Load +45%,Septon,March Size vs Creatures +2970,Steel Crafting Efficiency +8%,NO,0,736k,18,697k,T3
23,3,Horn Hill,"King's Landing, Highgarden",Training Speed +90%,3.5 Attack x5,"March Size vs 3.5* SoP +120,967",March Speed vs Resources +8%,NO,0,736k,18,697k,T3
